STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000003345,CID005353980,C0043096,loss of weight
CID000003345,CID000003463,C0017152,gastric inflammation
CID000003345,CID000005291,C0038525,subarachnoid haemorrhage
CID000003345,CID000003382,C0011615,allergic dermatitis
CID000003345,CID000003657,C0038525,subarachnoid haemorrhage
CID000003345,CID000003724,C0030193,Pain
CID000003345,CID000004585,C0702166,Acne
CID000003345,CID005311039,C0042384,angiitis
CID000003345,CID000005512,C0008325,cholecystitis
CID000003345,CID000004264,C0011124,Decreased Libido
CID000003345,CID000047320,C0011615,allergic dermatitis
CID000003345,CID000005077,C0013221,drug toxicity NOS
CID000003345,CID000005078,C0008325,cholecystitis
CID000003345,CID000160051,C0043096,loss of weight
CID000003345,CID000004674,C0017152,gastric inflammation
CID000003345,CID000036811,C0151714,hypermagnesemia
CID000003345,CID005311082,C0004144,atelectasis
CID000003345,CID000003510,C0017152,gastric inflammation
CID000003345,CID000004052,C0235527,right heart failure
CID000003345,CID000004053,C0043096,loss of weight
CID000003345,CID000004058,C0497156,Adenopathy
CID000003345,CID000004736,C0038454,apoplexy
CID000003345,CID000004889,C0025637,methaemoglobinaemia
CID000003345,CID000213039,C0017672,glossodynia
CID000003345,CID000003494,C0151611,abnormal EEG
CID000003345,CID000004159,C0017152,gastric inflammation
CID000003345,CID000005735,C0008325,cholecystitis
CID000003345,CID000038904,C0012569,Diplopia
CID000003345,CID000003676,C0008325,cholecystitis
CID000003345,CID000054547,C0001339,acute pancreatitis
CID000003345,CID000005267,C0004601,back injury
CID000003345,CID000003440,C0497156,Adenopathy
CID000003345,CID000003410,C0151611,abnormal EEG
CID000003345,CID000003419,C0085631,agitated
CID000003345,CID000060852,C0013362,dysarthria
CID000003345,CID000060184,C0004144,atelectasis
CID000003345,CID000057537,C0575081,Abnormal Gait
CID000003345,CID000004212,C0032285,neumonia
CID000003345,CID000004927,C0008325,cholecystitis
CID000003345,CID000130881,C0017152,gastric inflammation
CID000003345,CID003468412,C0008325,cholecystitis
CID000003345,CID000197712,C0020542,pulmonary hypertension
CID000003345,CID000060953,C0497156,Adenopathy
CID000003345,CID000005647,C0017152,gastric inflammation
CID000003345,CID000056339,C0003811,Arrhythmia
CID000003345,CID000004856,C0041834,erythema
CID000003345,CID000104865,C0015230,eruption
CID000003345,CID000004189,C0038454,apoplexy
CID000003345,CID000004236,C0008320,cholecystectomies
CID000003345,CID000009433,C0040034,thrombocytopenia
CID000003345,CID000005040,C0013362,dysarthria
CID000003345,CID005493381,C0043096,loss of weight
CID000003345,CID000216239,C0038454,apoplexy
CID000003345,CID000071273,C0004144,atelectasis
CID000003345,CID000005533,C0004601,back injury
CID000003345,CID005481350,C0043096,loss of weight
CID000003345,CID000004473,C0041834,erythema
CID000003345,CID000005472,C0038999,bulging
CID000003345,CID000005478,C0043096,loss of weight
CID000003345,CID000005212,C0017152,gastric inflammation
CID000003345,CID000003449,C0009806,constipated
CID000003345,CID000003446,C0025637,methaemoglobinaemia
CID000003345,CID000005155,C0019209,enlarged liver
CID000003345,CID000060164,C0031099,periodontitis
CID000003345,CID000019090,C0008325,cholecystitis
CID000003345,CID000004691,C0025637,methaemoglobinaemia
CID000003345,CID000041693,C0002063,alkalosis
CID000003345,CID000005771,C0231807,Dyspnea exertional
CID000003345,CID000004595,C0497156,Adenopathy
CID000003345,CID000004599,C0008325,cholecystitis
CID000003345,CID000004614,C0043094,weight gain
CID000003345,CID000054374,C0017152,gastric inflammation
CID000003345,CID004475485,C0497156,Adenopathy
CID000003345,CID000060854,C0152128,drug withdrawal
CID000003345,CID005311027,C0043096,loss of weight
CID000003345,CID000027661,C0017152,gastric inflammation
CID000003345,CID003085017,C0017152,gastric inflammation
CID000003345,CID000074989,C0001339,acute pancreatitis
CID000003345,CID000004205,C0008325,cholecystitis
CID000003345,CID000004201,C0497156,Adenopathy
CID000003345,CID005311297,C0008325,cholecystitis
CID000003345,CID000060696,C0497156,Adenopathy
CID000003345,CID000005726,C0031154,peritonitis
CID000003345,CID000151165,C0043096,loss of weight
CID000003345,CID000093860,C0017152,gastric inflammation
CID000003345,CID004183806,C0015230,eruption
CID000003345,CID000024486,C0162529,colitis ischemic
CID000003345,CID000667490,C0008325,cholecystitis
CID000003345,CID000004173,C0017152,gastric inflammation
CID000003345,CID000004171,C0017152,gastric inflammation
CID000003345,CID000004170,C0008325,cholecystitis
CID000003345,CID000004178,C0013604,edema
CID000003345,CID000004900,C0017152,gastric inflammation
CID000003345,CID000150310,C0007642,cellulitis
CID000003345,CID000003750,C0041834,erythema
CID000003345,CID000060198,C0017152,gastric inflammation
CID000003345,CID000042113,C0015230,eruption
CID000003345,CID000004513,C0038454,apoplexy
CID000003345,CID005281007,C0033036,atrial ectopic beats
CID000003345,CID000060877,C0031212,Personality disorder
CID000003345,CID000176870,C0043096,loss of weight
CID000003345,CID000003661,C0041834,erythema
CID000003345,CID000005426,C0017152,gastric inflammation
CID000003345,CID000005394,C0041834,erythema
CID000003345,CID000016231,C0013221,drug toxicity NOS
CID000003345,CID000004583,C0008325,cholecystitis
CID000003345,CID000004834,C0004144,atelectasis
CID000003345,CID000034312,C0025637,methaemoglobinaemia
CID000003345,CID000005978,C0017152,gastric inflammation
CID000003345,CID000005210,C0497156,Adenopathy
CID000003345,CID000003825,C0085631,agitated
CID000003345,CID000003902,C0017152,gastric inflammation
CID000003345,CID000003821,C0024141,disseminated lupus erythematosus
CID000003345,CID000004259,C0017152,gastric inflammation
CID000003345,CID000004253,C0497156,Adenopathy
CID000003345,CID000003379,C0040034,thrombocytopenia
CID000003345,CID000005002,C0008325,cholecystitis
CID000003345,CID000004666,C0008325,cholecystitis
CID000003345,CID000054841,C0037195,Sinus headache
CID000003345,CID000004603,C0013221,drug toxicity NOS
CID000003345,CID000091270,C0015230,eruption
CID000003345,CID000110635,C0043096,loss of weight
CID000003345,CID000004506,C0004604,Back Ache
CID000003345,CID000041774,C0038454,apoplexy
CID000003345,CID000003715,C0014394,Enuresis
CID000003345,CID000012536,C0017152,gastric inflammation
CID000003345,CID000005184,C0031099,periodontitis
CID000003345,CID000005556,C0004601,back injury
CID000003345,CID000003869,C0004601,back injury
CID000003345,CID000059708,C0017152,gastric inflammation
CID000003345,CID000004748,C0043096,loss of weight
CID000003345,CID000068740,C0008325,cholecystitis
CID000003345,CID000008953,C0017152,gastric inflammation
CID000003345,CID000003793,C0043096,loss of weight
CID000003345,CID000004463,C0043096,loss of weight
CID000003345,CID000004943,C0025637,methaemoglobinaemia
CID000003345,CID000004946,C0017152,gastric inflammation
CID000009433,CID000036811,C0032290,aspiration pneumonia
CID000009433,CID000087177,C0004144,atelectasis
CID000009433,CID000054688,C0750426,increased white blood cell count
CID000009433,CID000027661,C0522055,abnormal ECG
CID000009433,CID000065999,C0013221,drug toxicity NOS
CID000009433,CID000054454,C0522055,abnormal ECG
CID000009433,CID005311297,C0027441,nasopharyngitis
CID000009433,CID000060831,C0009806,constipated
CID000009433,CID000083786,C0027441,nasopharyngitis
CID000003929,CID000150610,C0015230,eruption
CID000003929,CID000060831,C0011854,insulin dependent diabetes mellitus
CID000003929,CID000060835,C0011854,insulin dependent diabetes mellitus
CID000003929,CID000004253,C0008325,cholecystitis
CID000003929,CID000041693,C0699790,carcinoma of the colon
CID000003929,CID000005402,C0040034,thrombocytopenia
CID000003929,CID000004946,C0043096,loss of weight
CID000003929,CID000004943,C0750426,increased white blood cell count
CID000003929,CID000005039,C0008325,cholecystitis
CID000003929,CID000005155,C0039231,heart rate increased
CID000003929,CID000005978,C0029189,orchiectomy
CID000003929,CID005311039,C0042384,angiitis
CID000003929,CID000019090,C0026986,myelodysplasia
CID000003929,CID000004607,C0013604,edema
CID000003929,CID000005212,C0015230,eruption
CID000003929,CID000060612,C0020538,High blood pressure
CID000003929,CID000005514,C0030193,Pain
CID000003929,CID000051263,C0750426,increased white blood cell count
CID000003929,CID000004595,C0042384,angiitis
CID000003929,CID000008953,C0017152,gastric inflammation
CID000003929,CID000004091,C0008325,cholecystitis
CID000003929,CID000010631,C0271650,Glucose intolerance
CID000003929,CID000005647,C0043094,weight gain
CID000003929,CID000004112,C0017152,gastric inflammation
CID000003929,CID000004834,C0020538,High blood pressure
CID000003929,CID000038904,C0032227,Pleural Effusion
CID000003929,CID000004264,C0019158,hepatitis
CID000003929,CID000005556,C0040034,thrombocytopenia
CID000003929,CID000005245,C0011615,allergic dermatitis
CID000003929,CID000004205,C0235527,right heart failure
CID000003929,CID000004900,C0012569,Diplopia
CID000003929,CID000005038,C0042384,angiitis
CID000003929,CID000054547,C0019080,Bleeding
CID000003929,CID000005002,C0011854,insulin dependent diabetes mellitus
CID000003929,CID000005372,C0235527,right heart failure
CID000003929,CID000005379,C0037199,Sinusitis
CID000003929,CID000004425,C0007642,cellulitis
CID000003929,CID005311297,C0043096,loss of weight
CID000003929,CID000004075,C0013604,edema
CID000003929,CID000005512,C0011854,insulin dependent diabetes mellitus
CID000003929,CID000034312,C0024586,carcinoid syndrome
CID000003929,CID000005234,C0008325,cholecystitis
CID000003929,CID000004547,C0007642,cellulitis
CID000003929,CID000024486,C0235527,right heart failure
CID000003929,CID000004894,C0497156,Adenopathy
CID000003929,CID000005203,C0008325,cholecystitis
CID000003929,CID005282044,C0004610,Bacteraemia
CID000003929,CID000041781,C0043096,loss of weight
CID000003929,CID000077999,C0042384,angiitis
CID000003929,CID000004812,C0151699,haemorrhage intracranial
CID000003929,CID000005496,C0085680,hypochloraemia
CID000003929,CID000005267,C0043096,loss of weight
CID000003929,CID000005064,C0040034,thrombocytopenia
CID000003929,CID000054688,C0042384,angiitis
CID000003929,CID000004585,C0007642,cellulitis
CID000003929,CID000005656,C0043096,loss of weight
CID000003929,CID000005651,C0034886,proctalgia
CID000003929,CID000027661,C0040034,thrombocytopenia
CID000003929,CID000004829,C0040034,thrombocytopenia
CID000003929,CID000005391,C0043096,loss of weight
CID000003929,CID000004259,C0017152,gastric inflammation
CID000003929,CID000005478,C0009676,confusion
CID000003929,CID000004168,C0006112,metabolic encephalopathy
CID000003929,CID000005090,C0007642,cellulitis
CID000003929,CID000004052,C0017152,gastric inflammation
CID000003929,CID000004058,C0043094,weight gain
CID000003929,CID000005095,C0043096,loss of weight
CID000003929,CID000065999,C0040034,thrombocytopenia
CID000003929,CID000004485,C0231807,Dyspnea exertional
CID000003929,CID000028112,C0011127,decubitus ulcer
CID000003929,CID000087177,C0007642,cellulitis
CID000003929,CID000004159,C0041834,erythema
CID000003929,CID000036339,C0032290,aspiration pneumonia
CID000003929,CID000004691,C0043096,loss of weight
CID000003929,CID000005732,C0006112,metabolic encephalopathy
CID000003929,CID000003957,C0038454,apoplexy
CID000003929,CID000443871,C0020538,High blood pressure
CID000003929,CID000005040,C0032285,neumonia
CID000003929,CID003085017,C0011168,deglutition disorder
CID000003929,CID000054374,C0085631,agitated
CID000003929,CID000125889,C0009676,confusion
CID000003929,CID000006691,C0043096,loss of weight
CID000003929,CID000083786,C0026986,myelodysplasia
CID000003929,CID000004889,C0017152,gastric inflammation
CID000003929,CID000005426,C0020461,Excess potassium
CID000003929,CID000036811,C0026848,muscle disorder
CID000003929,CID000004107,C0011854,insulin dependent diabetes mellitus
CID000003929,CID000004927,C0011854,insulin dependent diabetes mellitus
CID000003929,CID000004171,C0026986,myelodysplasia
CID000003929,CID000004170,C0007642,cellulitis
CID000003929,CID000003961,C0026986,myelodysplasia
CID000003929,CID000003962,C0039231,heart rate increased
CID000003929,CID000005297,C0017152,gastric inflammation
CID000003929,CID000130881,C0017152,gastric inflammation
CID000003929,CID000003937,C0008325,cholecystitis
CID000003929,CID000093860,C0042384,angiitis
CID000003929,CID000004740,C0040034,thrombocytopenia
CID000003929,CID000004917,C0008325,cholecystitis
CID000003929,CID000004583,C0008325,cholecystitis
CID000003929,CID000004173,C0151632,elevated erythrocyte sedimentation rate
CID000003929,CID003468412,C0008325,cholecystitis
CID000003929,CID000004873,C0008325,cholecystitis
CID000003929,CID000054454,C0041755,ADVERSE DRUG EFFECT
CID000003929,CID000059708,C0043094,weight gain
CID000003929,CID000005523,C0750426,increased white blood cell count
CID000003929,CID000004634,C0009676,confusion
CID000003929,CID000004212,C1257843,colitis pseudomembranous
CID000150610,CID005311039,C0036572,convulsion
CID000001302,CID000005064,C0004601,back injury
CID000001302,CID000004893,C0038454,apoplexy
CID000001302,CID000004894,C0231807,Dyspnea exertional
CID000001302,CID000002800,C0013221,drug toxicity NOS
CID000001302,CID000002806,C0010930,dacrocystitis
CID000001302,CID000004075,C0027441,nasopharyngitis
CID000001302,CID000003869,C0151632,elevated erythrocyte sedimentation rate
CID000001302,CID000002022,C0008325,cholecystitis
CID000001302,CID000060953,C0043096,loss of weight
CID000001302,CID000005454,C0043094,weight gain
CID000001302,CID000002801,C0522055,abnormal ECG
CID000001302,CID000060852,C0037195,Sinus headache
CID000001302,CID000060854,C0038454,apoplexy
CID000001302,CID000004205,C0017152,gastric inflammation
CID000001302,CID000004201,C0318712,gastroenteritis viral
CID000001302,CID000002311,C0017152,gastric inflammation
CID000001302,CID000004819,C0038454,apoplexy
CID000001302,CID005311297,C0041834,erythema
CID000001302,CID000003379,C0013362,dysarthria
CID000001302,CID000005234,C0032285,neumonia
CID000001302,CID000054688,C0702166,Acne
CID000001302,CID000001972,C0032290,aspiration pneumonia
CID000001302,CID000001971,C0033775,anal pruritus
CID000001302,CID000060147,C0024523,malabsorption
CID000001302,CID000003040,C0038454,apoplexy
CID000001302,CID000003042,C0043096,loss of weight
CID000001302,CID000003661,C0028754,obesity
CID000001302,CID000002215,C0019080,Bleeding
CID000001302,CID000002476,C0030193,Pain
CID000001302,CID000002474,C0027497,nausea
CID000001302,CID000002471,C0016663,Bone Fracture Spontaneous
CID000001302,CID000003784,C0043096,loss of weight
CID000001302,CID000003780,C0038454,apoplexy
CID000001302,CID000005379,C0008325,cholecystitis
CID000001302,CID000005372,C0038454,apoplexy
CID000001302,CID000004107,C0017152,gastric inflammation
CID000001302,CID000002622,C0497156,Adenopathy
CID000001302,CID000004740,C0041912,Infection Upper Respiratory
CID000001302,CID000004748,C0043096,loss of weight
CID000001302,CID000003446,C0017152,gastric inflammation
CID000001302,CID000003161,C0497156,Adenopathy
CID000001302,CID000077993,C0011053,deafness
CID000001302,CID000077999,C0497156,Adenopathy
CID000001302,CID000005077,C0038454,apoplexy
CID000001302,CID000151165,C0021390,inflammatory bowel disease
CID000001302,CID000003702,C0341858,adenomyosis
CID000001302,CID000002541,C0231807,Dyspnea exertional
CID000001302,CID000002153,C0043096,loss of weight
CID000001302,CID000002156,C0041834,erythema
CID000001302,CID000006691,C0341858,adenomyosis
CID000001302,CID000004189,C0043096,loss of weight
CID000001302,CID000005038,C0008325,cholecystitis
CID000001302,CID000005039,C0010930,dacrocystitis
CID000001302,CID000004845,C0043096,loss of weight
CID000001302,CID000054841,C0043096,loss of weight
CID000001302,CID000002092,C0041912,Infection Upper Respiratory
CID000001302,CID000003325,C0008325,cholecystitis
CID000001302,CID000119607,C0017152,gastric inflammation
CID000001302,CID000005556,C0231807,Dyspnea exertional
CID000001302,CID000005203,C0017152,gastric inflammation
CID000001302,CID000003203,C0043096,loss of weight
CID000001302,CID000004614,C0004601,back injury
CID000001302,CID000002756,C0041834,erythema
CID000001302,CID000032797,C0004604,Back Ache
CID000001302,CID000038904,C0014009,empyema
CID000001302,CID000002907,C0042384,angiitis
CID000001302,CID000104741,C0221776,mouth pain
CID000001302,CID000003016,C0008325,cholecystitis
CID000001302,CID000008953,C0038454,apoplexy
CID000001302,CID000001775,C0750426,increased white blood cell count
CID000001302,CID000004691,C0017152,gastric inflammation
CID000001302,CID000041781,C0004604,Back Ache
CID000001302,CID000003403,C0497156,Adenopathy
CID000001302,CID000060198,C0017152,gastric inflammation
CID000001302,CID000005731,C0042384,angiitis
CID000001302,CID000004158,C0017152,gastric inflammation
CID000001302,CID000004159,C0004601,back injury
CID000001302,CID000002658,C0497156,Adenopathy
CID000001302,CID000002650,C0027441,nasopharyngitis
CID000001302,CID000003404,C0497156,Adenopathy
CID000001302,CID000027686,C0027441,nasopharyngitis
CID000001302,CID000005090,C0013456,ear ache
CID000001302,CID000002244,C0017152,gastric inflammation
CID000001302,CID000002249,C0008325,cholecystitis
CID000001302,CID000091270,C0702166,Acne
CID000001302,CID000160051,C0006444,bursitis
CID000001302,CID000002160,C0026986,myelodysplasia
CID000001302,CID000019090,C0043096,loss of weight
CID000001302,CID000005040,C0231807,Dyspnea exertional
CID000001302,CID000004873,C0497156,Adenopathy
CID000001302,CID000004058,C0231807,Dyspnea exertional
CID000001302,CID000004052,C0008325,cholecystitis
CID000001302,CID000003310,C0040034,thrombocytopenia
CID000001302,CID000003255,C0041834,erythema
CID000001302,CID000005578,C0151611,abnormal EEG
CID000001302,CID003085017,C0038454,apoplexy
CID000001302,CID000002656,C0497156,Adenopathy
CID000001302,CID000154059,C0006444,bursitis
CID000001302,CID000003397,C0019080,Bleeding
CID000001302,CID000125889,C0152128,drug withdrawal
CID000001302,CID000002726,C0043096,loss of weight
CID000001302,CID003062316,C0040034,thrombocytopenia
CID000001302,CID000130881,C0008325,cholecystitis
CID000001302,CID000104865,C0037195,Sinus headache
CID000001302,CID000004409,C0017152,gastric inflammation
CID000001302,CID000003062,C0341858,adenomyosis
CID000001302,CID000005726,C0043096,loss of weight
CID000001302,CID000003640,C0008325,cholecystitis
CID000001302,CID000002891,C0041834,erythema
CID000001302,CID000002895,C0341858,adenomyosis
CID000001302,CID000005978,C0043096,loss of weight
CID000001302,CID000004046,C0011168,deglutition disorder
CID000001302,CID000005352,C0497156,Adenopathy
CID000001302,CID000005358,C0017152,gastric inflammation
CID000001302,CID000004900,C0341858,adenomyosis
CID000001302,CID000216239,C0013362,dysarthria
CID000001302,CID000002609,C0006444,bursitis
CID000001302,CID000005656,C0008325,cholecystitis
CID000001302,CID003468412,C0497156,Adenopathy
CID000001302,CID000003559,C0017152,gastric inflammation
CID000001302,CID000004727,C0042384,angiitis
CID000001302,CID000005095,C0042384,angiitis
CID000001302,CID000003143,C0043096,loss of weight
CID000001302,CID000003148,C0017152,gastric inflammation
CID000001302,CID000002818,C0013221,drug toxicity NOS
CID000001302,CID000057469,C0043096,loss of weight
CID000001302,CID000054374,C0043096,loss of weight
CID000001302,CID000004212,C0020443,elevated cholesterol
CID000001302,CID004659568,C0019079,coughing blood
CID000001302,CID000002617,C0008325,cholecystitis
CID000001302,CID000123620,C0004601,back injury
CID000001302,CID000002308,C0341858,adenomyosis
CID000001302,CID000004829,C0004604,Back Ache
CID000001302,CID000002520,C0004601,back injury
CID000001302,CID000002522,C0038454,apoplexy
CID000001302,CID000003348,C0004601,back injury
CID000001302,CID000068740,C0017152,gastric inflammation
CID000001302,CID000003957,C0008325,cholecystitis
CID000001302,CID000004634,C0008325,cholecystitis
CID000001302,CID000002771,C0008325,cholecystitis
CID000001302,CID000005525,C0497247,arterial pressure NOS increased
CID000001302,CID000005523,C0008325,cholecystitis
CID000001302,CID000002162,C0086769,panic attack
CID000001302,CID000003032,C0341858,adenomyosis
CID000001302,CID000110635,C0038454,apoplexy
