STITCH 1,STITCH 2,Polypharmacy Side Effect,Side Effect Name
CID000003823,CID000152945,C0026848,muscle disorder
CID000060815,CID005381226,C0040034,thrombocytopenia
CID000060815,CID000163742,C0040034,thrombocytopenia
CID000060815,CID004659568,C0013144,drowsiness
CID000005078,CID000054454,C0008325,cholecystitis
CID000005078,CID000005650,C0151611,abnormal EEG
CID000005078,CID000170361,C0032285,neumonia
CID000005078,CID006398525,C0042384,angiitis
CID000005078,CID000005391,C0027441,nasopharyngitis
CID000005078,CID000005732,C0008325,cholecystitis
CID000005078,CID000010631,C0017152,gastric inflammation
CID000005078,CID000005487,C0086769,panic attack
CID000005078,CID000077992,C0030554,Paraesthesia
CID000005078,CID000005523,C0017152,gastric inflammation
CID000005078,CID000005717,C0522224,palsies
CID000005078,CID000005512,C0008325,cholecystitis
CID000005078,CID000005544,C0008325,cholecystitis
CID000005078,CID000005358,C0008325,cholecystitis
CID000005078,CID003468412,C0043096,loss of weight
CID000005078,CID000062924,C0008325,cholecystitis
CID000005078,CID000060854,C0151611,abnormal EEG
CID000005078,CID005311297,C0008325,cholecystitis
CID000005078,CID000005245,C1456784,paranoia
CID000216239,CID006398525,C0043096,loss of weight
CID000216239,CID005311048,C0040034,thrombocytopenia
CID000216239,CID003468412,C0232492,abdominal pain upper
CID000216239,CID005311297,C0041834,erythema
CID000004058,CID000060854,C0020443,elevated cholesterol
CID000004058,CID000008953,C0011854,insulin dependent diabetes mellitus
CID000004058,CID000170361,C0043094,weight gain
CID000004058,CID000087177,C0011854,insulin dependent diabetes mellitus
CID000004058,CID000004543,C0043096,loss of weight
CID000004058,CID003468412,C0013362,dysarthria
CID000004058,CID000004679,C0017152,gastric inflammation
CID000004058,CID000004889,C0038454,apoplexy
CID000004058,CID000005650,C0038454,apoplexy
CID000004058,CID006398525,C0017152,gastric inflammation
CID000004058,CID000005073,C0017152,gastric inflammation
CID000004058,CID005311082,C0004604,Back Ache
CID000004058,CID000004736,C0043096,loss of weight
CID000004058,CID000062924,C0004144,atelectasis
CID000004058,CID000004856,C0011854,insulin dependent diabetes mellitus
CID000004058,CID000005732,C0017152,gastric inflammation
CID000004058,CID000004691,C0017152,gastric inflammation
CID000004058,CID000005152,C0007820,cerebral vascular disorder
CID000004058,CID000004170,C0043094,weight gain
CID000004058,CID000004616,C0190211,coronary angioplasty
CID000004058,CID005311297,C0017152,gastric inflammation
CID000004058,CID000010631,C0041834,erythema
CID000004058,CID000004900,C0008325,cholecystitis
CID000004058,CID000041781,C0022658,disorder Renal
CID000004058,CID000004236,C0040034,thrombocytopenia
CID000004058,CID000005391,C0017152,gastric inflammation
CID000004058,CID000004666,C0041834,erythema
CID000004058,CID000667490,C0235329,Small intestinal obstruction
CID000004058,CID000005719,C0011854,insulin dependent diabetes mellitus
CID000004058,CID000077999,C0038454,apoplexy
CID000004058,CID000054454,C0017152,gastric inflammation
CID000004058,CID005311048,C0034886,proctalgia
CID000004058,CID000005245,C0043096,loss of weight
CID000004058,CID000004585,C0041834,erythema
CID000004058,CID000004927,C0017152,gastric inflammation
CID000004058,CID000005523,C0017152,gastric inflammation
CID000004058,CID000005487,C0017152,gastric inflammation
CID000004058,CID000124087,C0008320,cholecystectomies
CID000004058,CID000004107,C0015230,eruption
CID000004058,CID000038904,C0221706,road traffic accident
CID000004058,CID000005771,C0042384,angiitis
CID000004058,CID000004205,C0017152,gastric inflammation
CID000004058,CID000004173,C0017152,gastric inflammation
CID000004058,CID000004829,C0015230,eruption
CID000004058,CID000004510,C0017152,gastric inflammation
CID000004058,CID000005544,C0011854,insulin dependent diabetes mellitus
CID000004058,CID000005512,C0038454,apoplexy
CID000004058,CID000005978,C0002994,angioedema
CID000004058,CID000005358,C0522055,abnormal ECG
CID000000453,CID000004894,C0011854,insulin dependent diabetes mellitus
CID000000453,CID000003676,C0038454,apoplexy
CID000000453,CID000004510,C0750426,increased white blood cell count
CID000000453,CID000005645,C0085605,Hepatic failure
CID000000453,CID000003883,C0041834,erythema
CID000000453,CID000004666,C0017152,gastric inflammation
CID000000453,CID000004497,C0041834,erythema
CID000000453,CID000003961,C0038454,apoplexy
CID000000453,CID000003345,C0042384,angiitis
CID000000453,CID003468412,C0038454,apoplexy
CID000000453,CID000004927,C0006112,metabolic encephalopathy
CID000000453,CID000002022,C0042384,angiitis
CID000000453,CID000054454,C0017152,gastric inflammation
CID000000453,CID000003062,C0017152,gastric inflammation
CID000000453,CID000039765,C0878544,Cardiomyopathy
CID000000453,CID000003958,C0017152,gastric inflammation
CID000000453,CID000003763,C0043096,loss of weight
CID000000453,CID000003440,C0026986,myelodysplasia
CID000000453,CID000002474,C0151632,elevated erythrocyte sedimentation rate
CID000000453,CID000002478,C0026986,myelodysplasia
CID000000453,CID000005719,C0003504,aortic regurgitation
CID000000453,CID000003405,C0041834,erythema
CID000000453,CID000002771,C0011854,insulin dependent diabetes mellitus
CID000000453,CID000000853,C0017152,gastric inflammation
CID000000453,CID000003869,C0040034,thrombocytopenia
CID000000453,CID000002803,C0040034,thrombocytopenia
CID000000453,CID000002806,C0038454,apoplexy
CID000000453,CID000003325,C0041834,erythema
CID000000453,CID000004900,C0038454,apoplexy
CID000000453,CID000003661,C0017152,gastric inflammation
CID000000453,CID000002662,C0221150,odynophagia
CID000000453,CID000002550,C0042384,angiitis
CID000000453,CID000002088,C0003504,aortic regurgitation
CID000000453,CID000005391,C0038454,apoplexy
CID000000453,CID000005732,C0750426,increased white blood cell count
CID000000453,CID000004691,C0013221,drug toxicity NOS
CID000000453,CID000002656,C0497156,Adenopathy
CID000000453,CID000004585,C0043096,loss of weight
CID000000453,CID000001690,C0032285,neumonia
CID000000453,CID000002524,C0151908,dry skin
CID000000453,CID005311048,C0017152,gastric inflammation
CID000000453,CID000001117,C0267596,haemorrhage rectum
CID000000453,CID000000596,C0019080,Bleeding
CID000000453,CID000087177,C0017152,gastric inflammation
CID000000453,CID000003148,C0040034,thrombocytopenia
CID000000453,CID000002578,C0040034,thrombocytopenia
CID000000453,CID000004679,C0011854,insulin dependent diabetes mellitus
CID000000453,CID000008953,C0017152,gastric inflammation
CID000000453,CID000003075,C0006112,metabolic encephalopathy
CID000000453,CID000003750,C0019521,hiccough
CID000000453,CID000019090,C0040034,thrombocytopenia
CID000000453,CID000003954,C0011854,insulin dependent diabetes mellitus
CID000000453,CID000038904,C0040034,thrombocytopenia
CID000000453,CID000005394,C0002064,respiratory alkalosis
CID000000453,CID000001983,C0026986,myelodysplasia
CID000000453,CID000003937,C0006112,metabolic encephalopathy
CID000000453,CID006398525,C0027051,heart attack
CID000000453,CID000004173,C0042384,angiitis
CID000000453,CID000004170,C0013604,edema
CID000000453,CID000003310,C0151714,hypermagnesemia
CID000000453,CID000002907,C0042384,angiitis
CID000000453,CID000000581,C0017152,gastric inflammation
CID000000453,CID000002658,C0019080,Bleeding
CID000000206,CID000003075,C0015230,eruption
CID000000206,CID000003958,C0008325,cholecystitis
CID000000206,CID000003954,C0004144,atelectasis
CID000000206,CID000019090,C0032285,neumonia
CID000000206,CID000005391,C0040034,thrombocytopenia
CID000000206,CID000065999,C0750426,increased white blood cell count
CID000000206,CID000004900,C0011206,acute brain syndrome
CID000000206,CID005381226,C0020443,elevated cholesterol
CID000000206,CID000074989,C0020443,elevated cholesterol
CID000000206,CID000005732,C0497156,Adenopathy
CID000000206,CID000004691,C0040034,thrombocytopenia
CID000000206,CID000087177,C0013221,drug toxicity NOS
CID000000206,CID000038904,C0004604,Back Ache
CID000000206,CID000003405,C0497156,Adenopathy
CID000000206,CID000001983,C0042384,angiitis
CID000000206,CID000000853,C0004144,atelectasis
CID000000206,CID003468412,C0235896,lung infiltration
CID000000206,CID000002907,C0036983,septic shock
CID000000206,CID000002474,C0018944,haematoma
CID000000206,CID005311048,C0017152,gastric inflammation
CID000000206,CID000004679,C0008325,cholecystitis
CID000000206,CID000002656,C0575081,Abnormal Gait
CID000000206,CID000003345,C0004144,atelectasis
CID000000206,CID000003661,C0019521,hiccough
CID000000206,CID000003062,C0235527,right heart failure
CID000000206,CID000001117,C0017152,gastric inflammation
CID000000206,CID000003890,C0004144,atelectasis
CID000000206,CID000002022,C0497156,Adenopathy
CID000000206,CID000003325,C0008325,cholecystitis
CID000000206,CID000002806,C0040034,thrombocytopenia
CID000000206,CID000002803,C0013221,drug toxicity NOS
CID000000206,CID000005523,C0004144,atelectasis
CID000000206,CID000004510,C0003811,Arrhythmia
CID000000206,CID000005645,C0019209,enlarged liver
CID000000206,CID000004894,C0020443,elevated cholesterol
CID000000206,CID000003658,C0020443,elevated cholesterol
CID000000206,CID000003440,C0497156,Adenopathy
CID000000206,CID005311297,C0040034,thrombocytopenia
CID000000206,CID000003937,C0002994,angioedema
CID000000206,CID000001690,C0015230,eruption
CID000000206,CID000004927,C0008325,cholecystitis
CID000000206,CID000002088,C0012833,dizziness
CID000000206,CID000001971,C0043096,loss of weight
CID000000206,CID000004173,C0008325,cholecystitis
CID000000206,CID000054454,C0008325,cholecystitis
CID000000206,CID000002771,C0013473,eating disorder
CID000000206,CID000003883,C0008325,cholecystitis
CID000000206,CID000003414,C0020443,elevated cholesterol
CID000000206,CID000005076,C0020443,elevated cholesterol
CID000000206,CID000005073,C0040034,thrombocytopenia
CID000000206,CID000003961,C0020649,arterial pressure NOS decreased
CID000000206,CID006398525,C0022660,acute kidney failure
CID000000206,CID000003706,C0020443,elevated cholesterol
CID000000206,CID000002891,C0040034,thrombocytopenia
CID000000206,CID000003339,C0027121,muscle inflammation
CID000000206,CID000004666,C0030193,Pain
CID000000206,CID000008953,C0032290,aspiration pneumonia
CID000000206,CID000003676,C0039231,heart rate increased
CID000041781,CID000163742,C0027726,nephrotic syndrome
CID000041781,CID003468412,C0017152,gastric inflammation
CID000041781,CID005311048,C0043096,loss of weight
CID000041781,CID000071329,C0043094,weight gain
CID000041781,CID005311297,C0008325,cholecystitis
CID000041781,CID006398525,C0043096,loss of weight
CID000041781,CID000062924,C0008325,cholecystitis
CID000041781,CID000152945,C0020456,hyperglycaemia
CID000041781,CID000071616,C0740394,hyperuricaemia
CID000041781,CID000054454,C0008325,cholecystitis
CID000041781,CID004659568,C0009676,confusion
CID000041781,CID005493444,C0043094,weight gain
CID000041781,CID000077999,C0043096,loss of weight
CID000041781,CID000087177,C0038454,apoplexy
CID000041781,CID000060852,C0013604,edema
CID000041781,CID000065999,C0038454,apoplexy
CID000005717,CID005311297,C0038454,apoplexy
CID000005717,CID003468412,C0038454,apoplexy
CID000005717,CID000170361,C0017152,gastric inflammation
CID000005717,CID000005732,C0041834,erythema
CID000005717,CID000077999,C0043094,weight gain
CID000005717,CID000124087,C0043096,loss of weight
CID000005717,CID006398525,C0522224,palsies
CID000005717,CID000010631,C0043094,weight gain
CID000005717,CID000060854,C0027497,nausea
CID000005717,CID000027686,C0017152,gastric inflammation
CID000005717,CID000062924,C0008320,cholecystectomies
CID000005717,CID000160051,C0038454,apoplexy
CID000005717,CID000054454,C0038454,apoplexy
CID000002800,CID000005358,C0017601,glaucoma
CID000002800,CID000062924,C0398353,Hypoventilation
CID000002800,CID000004691,C0043094,weight gain
CID000002800,CID000003440,C0085631,agitated
CID000002800,CID000004894,C0000786,abortion spontaneous
CID000002800,CID000010631,C0020443,elevated cholesterol
CID000002800,CID000003405,C0019080,Bleeding
CID000002800,CID000004920,C0043096,loss of weight
CID000004829,CID000005512,C0008325,cholecystitis
CID000004829,CID000005376,C0311394,difficulty in walking
CID000004829,CID000005095,C0043096,loss of weight
CID000004829,CID000060184,C0017152,gastric inflammation
CID000004829,CID000005352,C0020443,elevated cholesterol
CID000004829,CID000005358,C0008325,cholecystitis
CID000004829,CID000004856,C0043096,loss of weight
CID000004829,CID000005544,C0008325,cholecystitis
CID000004829,CID000008953,C0027441,nasopharyngitis
CID000004829,CID000005253,C0038454,apoplexy
CID000004829,CID000005245,C0017152,gastric inflammation
CID000004829,CID000152945,C0043096,loss of weight
CID000004829,CID000077999,C0497156,Adenopathy
CID000004829,CID000005978,C0040034,thrombocytopenia
CID000004829,CID000005650,C0041834,erythema
CID000004829,CID000005073,C0041834,erythema
CID000004829,CID000004889,C0497156,Adenopathy
CID000004829,CID000038904,C0008325,cholecystitis
CID000004829,CID005481350,C0003123,Anorexia
CID000004829,CID000016231,C0024141,disseminated lupus erythematosus
CID000004829,CID000087177,C0020538,High blood pressure
CID000004829,CID000163742,C0750426,increased white blood cell count
CID000004829,CID005311297,C0008325,cholecystitis
CID000004829,CID000065999,C0043096,loss of weight
CID000004829,CID000005732,C0008325,cholecystitis
CID000004829,CID005311048,C0043096,loss of weight
CID000004829,CID000005077,C0013362,dysarthria
CID000004829,CID000005076,C0231528,aching muscles
CID000004829,CID000005478,C0043096,loss of weight
CID000004829,CID000005152,C0004096,asthma
CID000004829,CID000124087,C0522055,abnormal ECG
CID000004829,CID000160051,C0038454,apoplexy
CID000004829,CID000125017,C0426636,defaecation urgency
CID000004829,CID000110635,C0041834,erythema
CID000004829,CID000667490,C0008325,cholecystitis
CID000004829,CID005493444,C0428977,bradycardia
CID000004829,CID000004885,C0232492,abdominal pain upper
CID000004829,CID006398525,C0008325,cholecystitis
CID000004829,CID000004900,C0017152,gastric inflammation
CID000004829,CID000004909,C0038454,apoplexy
CID000004829,CID000060852,C0043096,loss of weight
CID000004829,CID000060854,C0013604,edema
CID000004829,CID000054454,C0497156,Adenopathy
CID000004829,CID003468412,C0522055,abnormal ECG
CID000004829,CID000005394,C0043096,loss of weight
CID000004829,CID000005391,C0017152,gastric inflammation
CID000004829,CID000170361,C0497156,Adenopathy
CID000004829,CID000005719,C0043094,weight gain
CID000004829,CID000071329,C0428977,bradycardia
CID000004829,CID000019090,C0043096,loss of weight
CID000004829,CID000004911,C0014724,belching
CID000004829,CID000062924,C0008325,cholecystitis
CID000004829,CID005381226,C0497156,Adenopathy
CID000004829,CID000004927,C0008325,cholecystitis
CID000004829,CID000004920,C0013362,dysarthria
CID000004829,CID000005523,C0017152,gastric inflammation
CID000004829,CID000005645,C0151611,abnormal EEG
CID000004829,CID000005487,C0013362,dysarthria
CID000004829,CID000027991,C0008325,cholecystitis
CID000004829,CID000004894,C0004604,Back Ache
CID000004829,CID000444013,C0038999,bulging
CID000004829,CID000010631,C0043096,loss of weight
CID000004829,CID000060865,C0038454,apoplexy
CID000004829,CID000005195,C0028734,nocturia
CID000002474,CID000003763,C0022346,icterus
CID000002474,CID000003676,C0041834,erythema
CID000002474,CID000051263,C0013221,drug toxicity NOS
CID000002474,CID000039765,C0001339,acute pancreatitis
CID000002474,CID000002803,C0038525,subarachnoid haemorrhage
CID000002474,CID000008953,C0032285,neumonia
CID000002474,CID000003440,C0004610,Bacteraemia
CID000002474,CID000003075,C0040034,thrombocytopenia
CID000002474,CID000003890,C0039231,heart rate increased
CID000002474,CID000004927,C0004604,Back Ache
CID000002474,CID000005544,C0002170,alopecia
CID000002474,CID000004510,C0231807,Dyspnea exertional
CID000002474,CID000002541,C0003811,Arrhythmia
CID000002474,CID000004140,C0040034,thrombocytopenia
CID000002474,CID000004425,C0151786,muscle weakness
CID000002474,CID000003325,C0019080,Bleeding
CID000002474,CID000004894,C0017601,glaucoma
CID000002474,CID000054454,C0151636,Extrasystoles Ventricular
CID000002474,CID000004138,C0008033,pleural pain
CID000002474,CID000004679,C0009806,constipated
CID000002474,CID000003658,C0030554,Paraesthesia
CID000002474,CID000005771,C0231807,Dyspnea exertional
CID000002474,CID000005650,C0009676,confusion
CID000002474,CID000005478,C0442874,neuropathy
CID000002474,CID000003345,C0041834,erythema
CID000002474,CID000002658,C0041834,erythema
CID000002474,CID000004691,C0043096,loss of weight
CID000002474,CID000002656,C0002792,anaphylactic reaction
CID000002474,CID000005732,C0043096,loss of weight
CID000002474,CID000004616,C0392699,dysaesthesia
CID000002474,CID000002662,C0043096,loss of weight
CID000002474,CID000003883,C0004604,Back Ache
CID000002474,CID000003661,C1145670,respiratory failure
CID000002474,CID000004173,C0013604,edema
CID000002474,CID000002771,C0392699,dysaesthesia
CID000002474,CID000004900,C0030554,Paraesthesia
CID000002474,CID000003937,C0008350,cholelithiasis
CID000002474,CID000003958,C0013221,drug toxicity NOS
CID000000853,CID000005544,C0008325,cholecystitis
CID000000853,CID000002732,C0017152,gastric inflammation
CID000000853,CID000002733,C0043096,loss of weight
CID000000853,CID000036339,C0026986,myelodysplasia
CID000000853,CID000003062,C0341858,adenomyosis
CID000000853,CID000004927,C0025637,methaemoglobinaemia
CID000000853,CID000004920,C0341858,adenomyosis
CID000000853,CID000002088,C0341858,adenomyosis
CID000000853,CID000001971,C0001122,Acidosis
CID000000853,CID000003148,C0497156,Adenopathy
CID000000853,CID000002951,C0043094,weight gain
CID000000853,CID000057469,C0497156,Adenopathy
CID000000853,CID000004536,C0015230,eruption
CID000000853,CID000005376,C0497156,Adenopathy
CID000000853,CID000001117,C0008325,cholecystitis
CID000000853,CID000124087,C0341858,adenomyosis
CID000000853,CID000003410,C0017152,gastric inflammation
CID000000853,CID000048175,C0038454,apoplexy
CID000000853,CID006447131,C0017152,gastric inflammation
CID000000853,CID000001065,C0008325,cholecystitis
CID000000853,CID000003516,C0497156,Adenopathy
CID000000853,CID000003890,C0017152,gastric inflammation
CID000000853,CID000002662,C0017152,gastric inflammation
CID000000853,CID003468412,C0008325,cholecystitis
CID000000853,CID000003780,C0008325,cholecystitis
CID000000853,CID000002550,C0008325,cholecystitis
CID000000853,CID000002551,C0004604,Back Ache
CID000000853,CID000060852,C0008325,cholecystitis
CID000000853,CID000060854,C0008325,cholecystitis
CID000000853,CID000002375,C0522055,abnormal ECG
CID000000853,CID000004195,C0038525,subarachnoid haemorrhage
CID000000853,CID000087177,C0699744,ear infection
CID000000853,CID000003676,C0702166,Acne
CID000000853,CID000004543,C0008325,cholecystitis
CID000000853,CID000004542,C0497156,Adenopathy
CID000000853,CID000003827,C0043094,weight gain
CID000000853,CID000005878,C0015544,failure to thrive
CID000000853,CID004659568,C0013362,dysarthria
CID000000853,CID000005245,C0008320,cholecystectomies
CID000000853,CID005311297,C0497156,Adenopathy
CID000000853,CID000147912,C0522055,abnormal ECG
CID000000853,CID000002806,C0017152,gastric inflammation
CID000000853,CID000002803,C0497156,Adenopathy
CID000000853,CID000160051,C0027339,Nail disorder
CID000000853,CID000004425,C0040034,thrombocytopenia
CID000000853,CID000005771,C0025289,meningitides
CID000000853,CID000005487,C0017152,gastric inflammation
CID000000853,CID000005486,C0040034,thrombocytopenia
CID000000853,CID000002656,C0016470,food allergy
CID000000853,CID000002658,C0497156,Adenopathy
CID000000853,CID000005523,C0017152,gastric inflammation
CID000000853,CID000002713,C0017152,gastric inflammation
CID000000853,CID000003043,C0020443,elevated cholesterol
CID000000853,CID000003042,C0699744,ear infection
CID000000853,CID000004909,C0008325,cholecystitis
CID000000853,CID000004900,C0008325,cholecystitis
CID000000853,CID000002725,C0042487,phlebothrombosis
CID000000853,CID000004044,C0017152,gastric inflammation
CID000000853,CID000002524,C0008325,cholecystitis
CID000000853,CID000004201,C0497156,Adenopathy
CID000000853,CID000004205,C0702166,Acne
CID000000853,CID000012536,C0017152,gastric inflammation
CID000000853,CID000002978,C0013362,dysarthria
CID000000853,CID000004510,C0008325,cholecystitis
CID000000853,CID005311082,C0001339,acute pancreatitis
CID000000853,CID000005391,C0702166,Acne
CID000000853,CID000005394,C0026986,myelodysplasia
CID000000853,CID000003325,C0017152,gastric inflammation
CID000000853,CID000005152,C0008325,cholecystitis
CID000000853,CID000004497,C0085602,excessive thirst
CID000000853,CID000667490,C0318712,gastroenteritis viral
CID000000853,CID000002405,C0023903,hepatic neoplasia
CID000000853,CID005493444,C0750426,increased white blood cell count
CID000000853,CID000002265,C0008320,cholecystectomies
CID000000853,CID000002266,C0041834,erythema
CID000000853,CID000005645,C0008325,cholecystitis
CID000000853,CID000003763,C0013221,drug toxicity NOS
CID000000853,CID000057537,C0038454,apoplexy
CID000000853,CID000002609,C0038454,apoplexy
CID000000853,CID000004601,C0017152,gastric inflammation
CID000000853,CID000152945,C0549473,thyroid cancer
CID000000853,CID000010631,C0152128,drug withdrawal
CID000000853,CID000002720,C0013221,drug toxicity NOS
CID000000853,CID006398525,C0497156,Adenopathy
CID000000853,CID000071616,C0522055,abnormal ECG
CID000000853,CID000002099,C0038454,apoplexy
CID000000853,CID000004236,C0699744,ear infection
CID000000853,CID000060787,C0497156,Adenopathy
CID000000853,CID000003937,C0008325,cholecystitis
CID000000853,CID000003154,C0008325,cholecystitis
CID000000853,CID000002949,C0043096,loss of weight
CID000000853,CID000038904,C0017152,gastric inflammation
CID000000853,CID000001690,C0041834,erythema
CID000000853,CID000002578,C0020625,blood sodium decreased
CID000000853,CID000060164,C0017152,gastric inflammation
CID000000853,CID000003405,C0026986,myelodysplasia
CID000000853,CID000002435,C0497156,Adenopathy
CID000000853,CID000004178,C0043096,loss of weight
CID000000853,CID000004614,C0017152,gastric inflammation
CID000000853,CID000115237,C0043094,weight gain
CID000000853,CID000001986,C0043096,loss of weight
CID000000853,CID000001983,C0008325,cholecystitis
CID000000853,CID000004856,C0004601,back injury
CID000000853,CID000004440,C0042384,angiitis
CID000000853,CID000110635,C0152128,drug withdrawal
CID000000853,CID000003305,C0006444,bursitis
CID000000853,CID004479097,C0040034,thrombocytopenia
CID000000853,CID000003883,C0341858,adenomyosis
CID000000853,CID000005719,C0004604,Back Ache
CID000000853,CID000060754,C0041834,erythema
CID000000853,CID000444013,C0038999,bulging
CID000000853,CID000002676,C0037195,Sinus headache
CID000000853,CID000005076,C0497156,Adenopathy
CID000000853,CID000005077,C0013221,drug toxicity NOS
CID000000853,CID000005073,C0008325,cholecystitis
CID000000853,CID000004064,C0011615,allergic dermatitis
CID000000853,CID005381226,C0042384,angiitis
CID000000853,CID000002541,C0026986,myelodysplasia
CID000000853,CID000004889,C0341858,adenomyosis
CID000000853,CID000004885,C0017152,gastric inflammation
CID000000853,CID000060865,C0013362,dysarthria
CID000000853,CID000004748,C0043096,loss of weight
CID000000853,CID000004745,C0017152,gastric inflammation
CID000000853,CID000003961,C0008325,cholecystitis
CID000000853,CID000003962,C0008325,cholecystitis
CID000000853,CID000002369,C0008325,cholecystitis
CID000000853,CID000077992,C0006444,bursitis
CID000000853,CID000077999,C0497156,Adenopathy
CID000000853,CID000005584,C0041834,erythema
CID000000853,CID000004189,C0015230,eruption
CID000000853,CID000002284,C0008325,cholecystitis
CID000000853,CID000002130,C0017152,gastric inflammation
CID000000853,CID000003661,C0017152,gastric inflammation
CID000000853,CID000003278,C0043096,loss of weight
CID000000853,CID000002891,C0017152,gastric inflammation
CID000000853,CID000122316,C0085631,agitated
CID000000853,CID000005478,C0497156,Adenopathy
CID000000853,CID000002462,C0497156,Adenopathy
CID000000853,CID000170361,C0008320,cholecystectomies
CID000000853,CID000003333,C0041834,erythema
CID000000853,CID000004107,C0008325,cholecystitis
CID000000853,CID000003339,C0702166,Acne
CID000000853,CID000004666,C0017152,gastric inflammation
CID000000853,CID000009052,C0041834,erythema
CID000000853,CID000002818,C0008325,cholecystitis
CID000000853,CID000003741,C0013362,dysarthria
CID000000853,CID000003749,C0017152,gastric inflammation
CID000000853,CID005481350,C0013221,drug toxicity NOS
CID000000853,CID000003075,C0497156,Adenopathy
CID000000853,CID000004585,C0017152,gastric inflammation
CID000000853,CID000004054,C0026986,myelodysplasia
CID000000853,CID000004170,C0008325,cholecystitis
CID000000853,CID000003958,C0008325,cholecystitis
CID000000853,CID000003954,C0008325,cholecystitis
CID000000853,CID000125017,C0037195,Sinus headache
CID000000853,CID000003249,C0041834,erythema
CID000000853,CID000003869,C0041834,erythema
CID000000853,CID000060184,C0023903,hepatic neoplasia
CID000000853,CID000003463,C0017152,gastric inflammation
CID000000853,CID000004158,C0008325,cholecystitis
CID000000853,CID000005095,C0085631,agitated
CID000000853,CID000002022,C0025637,methaemoglobinaemia
CID000000853,CID000004463,C0003811,Arrhythmia
CID000000853,CID000027686,C0002170,alopecia
CID000000853,CID000005978,C0025637,methaemoglobinaemia
CID000000853,CID000004616,C0231807,Dyspnea exertional
CID000000853,CID000001071,C0027441,nasopharyngitis
CID000000853,CID000003440,C0341858,adenomyosis
CID000000853,CID000039765,C0235527,right heart failure
CID000000853,CID000005732,C0497156,Adenopathy
CID000000853,CID000004138,C0041834,erythema
CID000000853,CID000005195,C0017152,gastric inflammation
CID000000853,CID000004691,C0017152,gastric inflammation
CID000000853,CID000008953,C0008325,cholecystitis
CID000000853,CID000002153,C0497156,Adenopathy
CID000000853,CID005311048,C0006112,metabolic encephalopathy
CID000000853,CID000072938,C0041834,erythema
CID000000853,CID000005352,C0041834,erythema
CID000000853,CID000005358,C0008325,cholecystitis
CID000000853,CID000002349,C0038525,subarachnoid haemorrhage
CID000000853,CID000065999,C0008325,cholecystitis
CID000000853,CID000019090,C0497156,Adenopathy
CID000000853,CID000003310,C0235527,right heart failure
CID000000853,CID000005253,C0041834,erythema
CID000000853,CID000163742,C0038454,apoplexy
CID000000853,CID000054454,C0341858,adenomyosis
CID000000853,CID000071329,C0497156,Adenopathy
CID000000853,CID000016231,C0008325,cholecystitis
CID000000853,CID000002646,C0020538,High blood pressure
CID000000853,CID000005512,C0008325,cholecystitis
CID000000853,CID000005515,C0015230,eruption
CID000000853,CID000003059,C0038454,apoplexy
CID000000853,CID000004911,C0042384,angiitis
CID000000853,CID000004075,C0235527,right heart failure
CID000000853,CID000004894,C0016663,Bone Fracture Spontaneous
CID000000853,CID000004211,C0020443,elevated cholesterol
CID000000853,CID000003198,C0009676,confusion
CID000000853,CID000074989,C0020295,hydronephrosis
CID000000853,CID000002907,C0013456,ear ache
