drug_1_name,drug_2_name,drug_1_SMILES,drug_2_SMILES,molecular_interaction,mechanism,evidence,severity
Famotidine,Pirbuterol,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,Hydrogen Bonding,"Hydrogen bonds can form between hydrogen bond donors and acceptors. In physiological conditions, the amine (-NH2) groups and hydroxyl (-OH) groups are common sites for such interactions.","From SMILES 1, there is a thiol group in 'N=C(S1)'. From SMILES 2, there is a hydroxyl group 'O' from 'C1=NC(=C(C=C1)O)CO'. The hydrogen atoms from the thiol or amine group in SMILES 1 can potentially interact with the oxygen in the hydroxyl group in SMILES 2, forming hydrogen bonds.","Moderate - Based on the structural potential for hydrogen bonding, such interactions could influence pharmacodynamics or pharmacokinetics."
Duloxetine,Acamprosate,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,CC(=O)NCCCS(=O)(=O)O,Hydrogen Bonding,"The SMILES strings indicate the presence of potential hydrogen bond donors and acceptors. Specifically, the sulfonic acid group (SO3H) in SMILES 2 can act as a hydrogen bond donor or acceptor, interacting with the ether oxygen in SMILES 1.","SMILES 1 contains an ether linkage (OC), which includes an oxygen that can serve as a hydrogen bond acceptor. SMILES 2 contains a sulfonic acid group (S(=O)(=O)O), where the hydrogen of the -OH group can serve as a hydrogen bond donor, and the oxygens as acceptors.","Moderate - The interaction could affect the drugs' respective solubility and distribution when co-administered, due to potential aggregation or altered binding affinities in biological systems."
Temazepam,Megestrol,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,Steric Clashes,"Steric clashes can occur when bulky groups from different molecules are in close proximity, potentially leading to unfavorable overlap of their electron clouds.","SMILES 1 contains a phenyl group with a chlorine substituent and a bulky benzimidazole structure. SMILES 2 represents a steroid backbone with multiple cyclic structures, including several quaternary carbon centers, which contribute to its bulkiness. The combination of these features can lead to steric interference if both molecules attempt to occupy the same space.","Moderate - The presence of bulky groups can hinder the proper binding or activity of either molecule in a complex, potentially impacting their pharmacological behavior. However, without dynamic or spatial context, the exact extent of interference cannot be precisely determined."
Candesartan,Duloxetine,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,π-π Stacking Interaction,"Aromatic rings can engage in π-π stacking interactions, where the electron clouds of the aromatic systems overlap favorably, providing stabilization. This usually happens in a hydrophobic environment where there is accessibility for the rings to approach each other closely.","In SMILES 1, there is a biphenyl moiety, represented by ""C4=CC=CC=C4C5=NNN=N5"", and in SMILES 2, there is a biphenyl group formed by ""OC2=CC=CC3=CC=CC=C32"". These phenyl rings from both molecules can potentially engage in stacking interactions.","Moderate - π-π stacking can influence the binding affinity and selectivity of small molecules towards biological targets, potentially affecting their pharmacological activity."
Sildenafil,Zaleplon,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,Hydrogen Bonding,"Hydrogen bonding may occur between a hydrogen bond donor group, such as a secondary amine or hydroxyl group, and a hydrogen bond acceptor group such as carbonyl oxygen or cyano nitrogen.","In SMILES 1, there is a sulfonamide oxygen (S(=O)(=O)) which can act as a hydrogen bond acceptor. In SMILES 2, there is a secondary amine group (CCN) which can potentially serve as a hydrogen bond donor.","Moderate - Hydrogen bonding can influence drug solubility and receptor binding, impacting the pharmacological activity and metabolism."
Risedronic acid,Imatinib,C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Hydrogen Bonding,"Hydrogen bonds can form between a hydrogen donor (such as an -OH or -NH group) and an acceptor (such as a carbonyl oxygen or a nitrogen atom in an aromatic ring). Here, one molecule contains multiple -OH groups on phosphate groups, and the other contains carbonyl groups and aromatic nitrogen atoms.","- From SMILES 1: The molecule possesses phosphoryl groups (P(=O)(O)O) with hydroxyl groups (-OH), which can act as hydrogen bond donors.
- From SMILES 2: The presence of carbonyl oxygen atoms (C=O) and aromatic nitrogen atoms (such as in NC=O and in pyridine rings) can act as hydrogen bond acceptors.","Moderate - This interaction might influence the positioning or orientation of the molecules relative to each other, which could impact drug efficacy or bioavailability."
Furosemide,Telithromycin,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,Hydrogen Bonding,"This interaction is likely because drug structures exhibit both hydrogen bond donors (e.g., hydroxyl groups) and acceptors (e.g., carbonyl groups, sulfonamide groups) that can form hydrogen bonds under physiological conditions.","In SMILES 1, the carboxylic acid group (COOH, represented by ""C(=O)O"") and the sulfonamide group (S(=O)(=O)N) are present, which can act as hydrogen bond acceptors. SMILES 2 contains several hydroxyl groups (e.g., ""O3"") that can act as hydrogen bond donors.",Moderate - The indicated groups are common in drug molecules and might contribute to binding specificity in physiological settings but typically result in moderate pharmacological interactions in terms of efficacy or side effects unless specifically designed for such interactions.
Citalopram,nevirapine,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,Aromatic π-π stacking,"This type of non-covalent interaction can occur between aromatic rings, where the π-orbitals overlap allow the aromatic systems to transiently interact.",SMILES 1 contains a substituted phenyl ring (C3=CC=C(C=C3)F) and SMILES 2 contains a pyridine ring (C3=C(C=CC=N3)). The presence of these aromatic rings in a relatively similar context (planar structure with potential face-to-face or edge-to-face alignment under suitable conditions) can facilitate π-π interactions.,Moderate - Aromatic π-π stacking may stabilize transient complex formations but generally does not lead to strong or irreversible interactions under typical pharmacological conditions.
Bumetanide,Fenofibrate,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,Pi-Pi stacking interaction,"Pi-Pi stacking interactions occur between aromatic rings when the electron clouds of these rings overlap, stabilizing the interaction. This often happens in chemical structures with planar, aromatic rings in proximity.","In SMILES 1, there is an aromatic benzene ring [represented by C1=CC=CC=C1 as part of the methoxybenzene (OC2=CC=CC=C2) structure]. In SMILES 2, there are also phenyl rings (C1=CC=C(C=C1) and C2=CC=C(C=C2)Cl), allowing for the possibility of pi-pi interactions between these two extended aromatic systems.","Moderate - While pi-pi stacking can stabilize drug interactions, the pharmacological impact can vary based on the context, such as concentration and the presence of other interacting molecules or structures, but it is generally not as strong as ionic or covalent interactions."
folinic acid,Thalidomide,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,Hydrogen Bonding,"Hydrogen bonding can occur between a hydrogen donor (e.g., -NH group) and a hydrogen acceptor (e.g., C=O group) present within the structures.","In SMILES 1, there are multiple C=O groups and NH groups within the cyclic and acyclic amide functionalities that could serve as acceptors and donors, respectively. Similarly, SMILES 2 contains C=O groups in the imide and amide functionalities and an NH group in the cyclic structure as hydrogen bond acceptors and donors, respectively.","Moderate - The presence of multiple potential hydrogen bond donors and acceptors in vicinity increases the potential for interaction, which could influence their pharmacological dynamics."
Diazepam,Ibuprofen,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,π-π Stacking,"The benzene rings in both molecules can align parallel to each other, allowing for π-π interactions through stacking. These interactions occur because the delocalized π electrons in the aromatic rings can stabilize each other when the rings are positioned face-to-face.","SMILES 1 contains a benzene ring in the ""C3=CC=CC=C3"" portion, while SMILES 2 contains a benzene ring in the ""C1=CC=C(C=C1)"" portion. These structural features suggest the potential for π-π stacking between the two aromatic rings.","Moderate - Depending on the orientation and proximity, this interaction could modestly affect pharmacological outcomes, especially if aromatic interactions are crucial in binding or transport mechanisms."
Naproxen,Palonosetron,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,Pi-Pi Stacking,"Pi-pi stacking occurs between the aromatic rings of the two different molecules. Both SMILES contain aromatic systems that could align parallel to each other, allowing their electron clouds to interact, which is a stabilizing non-covalent interaction.","The first SMILES has a naphthalene moiety (two fused benzene rings). The second SMILES contains a bicyclic structure with an aromatic ring (isoquinoline), which can participate in pi-pi stacking with the naphthalene rings in the first SMILES structure.","Moderate - Pi-pi interactions can significantly influence the drug’s pharmacodynamics and pharmacokinetics, altering binding to targets or other biomolecules."
Alprazolam,Formoterol,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,Hydrogen Bonding,"A hydrogen bond could form between a hydrogen donor in one molecule and an acceptor in the other. The hydroxyl (-OH) group, which is a hydrogen bonding donor, in SMILES 2 can interact with nitrogen atoms, which are potential hydrogen bond acceptors, in the triazole ring of SMILES 1.","In SMILES 1, the nitrogen atoms (N) in the triazole ring (NN=C) can act as hydrogen bond acceptors. In SMILES 2, the hydroxyl group (-OH) at the end of the main carbon chain can donate a hydrogen in hydrogen bonding.","Moderate - Hydrogen bonds can impact binding affinity and pharmacokinetics, possibly altering efficacy or solubility."
Fentanyl,Trimethoprim,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Hydrogen bonding,Hydrogen bonding can occur between a hydrogen atom attached to a nitrogen or oxygen in SMILES 2 (which contains multiple nitrogen atoms within the pyrazine ring) and a carbonyl oxygen atom from the amide group in SMILES 1.,"In SMILES 1, the carbonyl oxygen in the acetamide group (C=O) can serve as a hydrogen bond acceptor. In SMILES 2, the amino group (N) in the pyrazine ring can potentially act as a hydrogen bond donor.",Moderate - This interaction may affect the binding affinity or solubility profiles under physiological conditions.
Citalopram,Midodrine,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,Hydrogen Bonding,"A hydrogen bond could form between a hydrogen bond donor in SMILES 2 and a hydrogen bond acceptor in SMILES 1. Specifically, the hydroxyl group (O-H) in SMILES 2 can donate a hydrogen bond to the nitrogen atom in the cyano group (C#N) from SMILES 1, which acts as a hydrogen bond acceptor.","In SMILES 2, the group ""C(CNC(=O)CN)O"" contains a hydroxyl (-OH) where oxygen can serve as a hydrogen bond donor. In SMILES 1, ""C#N"" specifies the presence of a nitrogen which can act as a hydrogen bond acceptor.",Moderate - This interaction can influence solubility and binding but its overall impact depends on the drug's context and target.
Duloxetine,solifenacin,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,C1CN2CCC1C(C2)OC(=O)N3CCC4=CC=CC=C4C3C5=CC=CC=C5,Pi-Pi Stacking,"Pi-Pi stacking is a non-covalent interaction between aromatic rings, where the electron clouds of the rings interact with each other. This can stabilize the interaction between molecules.","SMILES 1 contains two aromatic rings (thiophene S1 and a benzene), and SMILES 2 contains multiple benzene rings. Specifically, SMILES 1 includes `C1=CC=CS1` and `C2=CC=CC3=CC=CC=C32`, and SMILES 2 includes `C4=CC=CC=C4` and `C5=CC=CC=C5`. These aromatic components can engage in pi-pi stacking interactions.","Moderate - Pi-pi stacking can affect binding affinity and specificity, but impact depends on the overall molecular environment."
Rofecoxib,Imatinib,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,π-π Stacking,"π-π stacking occurs when aromatic rings interact with each other through their π-electron clouds, aligning in a parallel orientation due to quadrupole interactions.","Both SMILES strings contain aromatic structures. In SMILES 1, there are benzene rings (C1=CC=C(C=C1) and C3=CC=CC=C3). In SMILES 2, multiple aromatic rings are present, specifically those within the phenyl groups (C1=C(C=C(C=C1)) and C2=CC=C(C=C2)) along with additional heteroaromatic structures. These aromatic rings are conducive to forming π-π interactions.","Moderate - π-π stacking can stabilize the interaction between drug molecules and may affect binding or solubility, though it may not be the most dominant interaction."
Diazepam,Ketoprofen,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Hydrogen Bonding,"This interaction can occur due to the presence of a hydrogen bond donor and acceptor in each molecule. In SMILES 1, there is a carbonyl group (C=O), which can act as a hydrogen bond acceptor, and in SMILES 2, there is a carboxylic acid group (C(=O)O), where the hydroxyl (OH) group can serve as a hydrogen bond donor.","In SMILES 1, the C(=O) group positioned on the lactam ring nitrogen can accept hydrogen bonds. In SMILES 2, the C(=O)O group provides a hydroxyl group (O-H) capable of forming hydrogen bonds with the acceptor of SMILES 1.","Moderate - While hydrogen bonding can influence drug interaction, the strength of this interaction will depend on the three-dimensional conformation of the drugs in solution, the specific physiological environment, and other competing interactions or bonds."
Diazepam,Temozolomide,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Hydrogen Bonding,The presence of a carbonyl oxygen in SMILES 1 can potentially form a hydrogen bond with hydrogen donors in SMILES 2 under physiological conditions.,"In SMILES 1, the carbonyl group within the urea-based moiety (C=O) can act as a hydrogen bond acceptor. In SMILES 2, the NH group (within the C(=O)N) can act as a hydrogen bond donor.",Moderate - This interaction might influence how the molecules align with biological targets or with each other but needs to be confirmed by further structural context from actual binding studies.
Naproxen,Pyridostigmine,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,Ionic Interaction,"Ionic interactions can occur between oppositely charged groups. In this case, there is an ammonium ion (a positively charged nitrogen center) in SMILES 2 that could potentially interact with the carboxylate group (a negatively charged oxygen center) in SMILES 1.","SMILES 1 contains a carboxylate group ""C(=O)O,"" which is likely to deprotonate under physiological conditions, forming a negative charge. SMILES 2 contains a quaternary ammonium indicated by ""C[N+],"" which has a permanent positive charge.","Moderate - This type of interaction can significantly affect the pharmacokinetic properties or binding affinity in a biological context, depending on the concentration and localization of these drugs."
Temozolomide,Trimethoprim,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Hydrogen Bonding,The hydrogen bonding interaction can occur when a hydrogen atom attached to an electronegative atom such as nitrogen (N-H) is in proximity to a lone pair on another electronegative atom (such as oxygen or nitrogen) from a different molecule.,"- In SMILES 1, the presence of an amide group with a nitrogen atom that can donate a hydrogen for hydrogen bonding. Notably, `C(=O)N` indicates a carbonyl group adjacent to a nitrogen.
- In SMILES 2, there is a 2-amino purine moiety `N=C(N)N` which could potentially serve as an acceptor for the hydrogen bond due to the presence of lone pair electrons on nitrogen atoms.","Moderate - Hydrogen bonding is a common, but significant type of interaction in drug binding and can influence drug solubility and target affinity."
Oxaprozin,Sildenafil,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,π-π Stacking,"The interaction arises from the overlapping of aromatic rings, allowing for favorable electronic interactions between them.","SMILES 1 contains two separate phenyl rings (`C1=CC=CC=C1` and `C3=CC=CC=C3`), and SMILES 2 contains a phenyl ring as part of the quinazoline structure (`C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC`). The presence of these aromatic systems suggests the potential for π-π stacking.","Moderate - π-π stacking can affect the binding and conformational stability of molecular complexes in physiological environments, potentially impacting drug activity."
Citalopram,Darunavir,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,Hydrogen Bond Donor-Acceptor Interaction,"A hydrogen bond can form between a hydrogen bond donor and an acceptor where lone pair electrons participate in bonding. The second SMILES contains a secondary amine, which could act as a hydrogen donor, and the first SMILES contains a nitrile group which can act as an acceptor.","The group ""C#N"" in the first SMILES (nitrile group) can act as a hydrogen bond acceptor, and the group ""NC(=O)"" in the second SMILES includes a nitrogen that can act as a hydrogen bond donor when protonated at physiological pH.","Low - While this interaction can occur, its pharmacological impact is likely minimal due to the general stability and relatively high energy required for significant hydrogen bonding between these groups under physiological conditions."
Famotidine,melphalan,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,Hydrogen Bonding,Hydrogen bonds may form between the hydrogen donor groups and the hydrogen acceptor sites present on the two molecules.,"In SMILES 1, there are amino groups (`-NH2` or `-NH-`) which can serve as hydrogen bond donors. SMILES 2 contains carboxyl group (=O) that can act as a hydrogen bond acceptor.",Moderate - Hydrogen bonding interactions can influence the pharmacokinetics or binding affinities in drug interactions.
Rofecoxib,Balsalazide,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O,π-π Stacking,"π-π stacking interactions occur between aromatic rings in the structures, which can align and attract each other due to overlapping electron clouds.","Both SMILES strings contain aromatic rings. SMILES 1 has two phenyl rings (C1 and C3), while SMILES 2 contains multiple aromatic systems, including a phenyl ring (C1) and a heteroaromatic ring (containing nitrogen) (NN=C2).",Moderate - π-π stacking can influence drug-receptor interactions or alter pharmacokinetics but typically does not result in severe pharmacological consequences on its own.
Tramadol,Almotriptan,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,Hydrogen Bonding,"A hydrogen bond can occur between a hydrogen donor and an acceptor. In SMILES 1, the phenol group (-O) can act as a hydrogen bond donor. In SMILES 2, the sulfonamide oxygen atoms (S(=O)(=O)) can act as hydrogen bond acceptors.","SMILES 1 contains the group (C2=CC(=CC=C2)OC)O, where the -O at the end is a potential hydrogen donor. SMILES 2 contains CS(=O)(=O)N, where the =O are potential hydrogen acceptors.",Moderate - Hydrogen bonds can significantly influence drug binding affinity and specificity.
Rofecoxib,Telmisartan,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,Hydrogen Bond Donor-Acceptor Interaction,Hydrogen bonds occur when there is a partial positive charge on a hydrogen atom bonded to an electronegative atom (such as nitrogen or oxygen) that can interact with a lone pair of electrons on another electronegative atom.,"In SMILES 1, the sulfone group (S(=O)(=O)) contains oxygen atoms that can act as hydrogen bond acceptors. In SMILES 2, the carboxyl group (C(=O)O) contains an oxygen that can potentially be a hydrogen bond donor under physiological conditions.","Moderate - This interaction could influence drug binding or conformation, possibly affecting pharmacokinetics or pharmacodynamics."
